

   TLevel      Time           dt       Iter    ItCum
    116  0.13837333E+01  0.100000E-01    6      571
    117  0.13937333E+01  0.100000E-01    5      576
    118  0.14037333E+01  0.100000E-01    6      582
    119  0.14133600E+01  0.962667E-02    6      588
    120  0.14229866E+01  0.962667E-02    6      594
    121  0.14326133E+01  0.962667E-02    6      600
    122  0.14422400E+01  0.962667E-02    5      605
    123  0.14518666E+01  0.962667E-02    5      610
    124  0.14614933E+01  0.962667E-02    4      614
    125  0.14711200E+01  0.962667E-02    5      619
    126  0.14807467E+01  0.962667E-02    5      624
    127  0.14903733E+01  0.962667E-02    6      630
    128  0.15000000E+01  0.962667E-02    5      635
    129  0.15100000E+01  0.100000E-01    5      640
    130  0.15200000E+01  0.100000E-01    5      645
    131  0.15300000E+01  0.100000E-01    5      650
    132  0.15400000E+01  0.100000E-01    4      654
    133  0.15500000E+01  0.100000E-01    4      658
    134  0.15600000E+01  0.100000E-01    4      662
    135  0.15700000E+01  0.100000E-01    4      666
    136  0.15800000E+01  0.100000E-01    4      670
    137  0.15900000E+01  0.100000E-01    4      674
    138  0.16000000E+01  0.100000E-01    4      678
    139  0.16100000E+01  0.100000E-01    5      683
    140  0.16200000E+01  0.100000E-01    6      689
    141  0.16300000E+01  0.100000E-01    5      694
    142  0.16400000E+01  0.100000E-01    4      698
    143  0.16500000E+01  0.100000E-01    4      702
    144  0.16600000E+01  0.100000E-01    4      706
    145  0.16700000E+01  0.100000E-01    5      711
    146  0.16800000E+01  0.100000E-01    5      716
    147  0.16900000E+01  0.100000E-01    5      721
    148  0.17000000E+01  0.100000E-01    4      725
    149  0.17100000E+01  0.100000E-01    4      729
    150  0.17200000E+01  0.100000E-01    4      733
    151  0.17300000E+01  0.100000E-01    5      738
    152  0.17400000E+01  0.100000E-01    6      744
    153  0.17500000E+01  0.100000E-01    4      748
    154  0.17600000E+01  0.100000E-01    4      752
    155  0.17700000E+01  0.100000E-01    4      756
    156  0.17800000E+01  0.100000E-01    4      760
    157  0.17900000E+01  0.100000E-01    4      764
    158  0.18000000E+01  0.100000E-01    5      769
    159  0.18100000E+01  0.100000E-01    5      774
    160  0.18200000E+01  0.100000E-01    5      779
    161  0.18300000E+01  0.100000E-01    4      783
    162  0.18400000E+01  0.100000E-01    4      787
    163  0.18500000E+01  0.100000E-01    4      791
    164  0.18600000E+01  0.100000E-01    4      795
    165  0.18700000E+01  0.100000E-01    4      799
    166  0.18800000E+01  0.100000E-01    4      803
    167  0.18900000E+01  0.100000E-01    4      807
    168  0.19000000E+01  0.100000E-01    4      811
    169  0.19100000E+01  0.100000E-01    4      815
    170  0.19200000E+01  0.100000E-01    5      820
    171  0.19300000E+01  0.100000E-01    6      826
    172  0.19400000E+01  0.100000E-01    4      830
    173  0.19500000E+01  0.100000E-01    4      834
    174  0.19600000E+01  0.100000E-01    4      838
    175  0.19700000E+01  0.100000E-01    4      842
    176  0.19800000E+01  0.100000E-01    4      846
    177  0.19900000E+01  0.100000E-01    4      850
    178  0.20000000E+01  0.100000E-01    5      855
    179  0.20100000E+01  0.100000E-01    5      860
    180  0.20200000E+01  0.100000E-01    5      865
    181  0.20300000E+01  0.100000E-01    5      870
    182  0.20400000E+01  0.100000E-01    5      875
    183  0.20500000E+01  0.100000E-01    7      882
    184  0.20600000E+01  0.100000E-01    4      886
    185  0.20700000E+01  0.100000E-01    4      890
    186  0.20800000E+01  0.100000E-01    4      894
    187  0.20900000E+01  0.100000E-01    4      898
    188  0.21000000E+01  0.100000E-01    5      903
    189  0.21100000E+01  0.100000E-01    5      908
    190  0.21200000E+01  0.100000E-01    4      912
    191  0.21300000E+01  0.100000E-01    5      917
    192  0.21400000E+01  0.100000E-01    5      922
    193  0.21500000E+01  0.100000E-01    4      926
    194  0.21600000E+01  0.100000E-01    4      930
    195  0.21700000E+01  0.100000E-01    5      935
    196  0.21800000E+01  0.100000E-01    5      940
    197  0.21900000E+01  0.100000E-01    5      945
    198  0.22000000E+01  0.100000E-01    5      950
    199  0.22100000E+01  0.100000E-01    6      956
    200  0.22200000E+01  0.100000E-01    4      960
    201  0.22300000E+01  0.100000E-01    4      964
    202  0.22400000E+01  0.100000E-01    4      968
    203  0.22500000E+01  0.100000E-01    4      972
    204  0.22600000E+01  0.100000E-01    4      976
    205  0.22700000E+01  0.100000E-01    4      980
    206  0.22800000E+01  0.100000E-01    4      984
    207  0.22900000E+01  0.100000E-01    4      988
    208  0.23000000E+01  0.100000E-01    4      992
    209  0.23100000E+01  0.100000E-01    4      996
    210  0.23200000E+01  0.100000E-01    5     1001
    211  0.23300000E+01  0.100000E-01    5     1006
    212  0.23400000E+01  0.100000E-01    5     1011
    213  0.23500000E+01  0.100000E-01    5     1016
    214  0.23600000E+01  0.100000E-01    5     1021
    215  0.23700000E+01  0.100000E-01    5     1026
    216  0.23800000E+01  0.100000E-01    5     1031
    217  0.23900000E+01  0.100000E-01    6     1037
    218  0.24000000E+01  0.100000E-01    5     1042
    219  0.24100000E+01  0.100000E-01    4     1046
    220  0.24200000E+01  0.100000E-01    5     1051
    221  0.24300000E+01  0.100000E-01    4     1055
    222  0.24400000E+01  0.100000E-01    4     1059
    223  0.24500000E+01  0.100000E-01    4     1063
    224  0.24600000E+01  0.100000E-01    4     1067
    225  0.24700000E+01  0.100000E-01    5     1072
    226  0.24800000E+01  0.100000E-01    5     1077
    227  0.24900000E+01  0.100000E-01    4     1081
    228  0.25000000E+01  0.100000E-01    4     1085
    229  0.25100000E+01  0.100000E-01    5     1090
    230  0.25200000E+01  0.100000E-01    5     1095
    231  0.25300000E+01  0.100000E-01    4     1099
    232  0.25400000E+01  0.100000E-01    4     1103
    233  0.25500000E+01  0.100000E-01    5     1108
    234  0.25600000E+01  0.100000E-01    6     1114
    235  0.25700000E+01  0.100000E-01    4     1118
    236  0.25800000E+01  0.100000E-01    4     1122
    237  0.25900000E+01  0.100000E-01    4     1126
    238  0.26000000E+01  0.100000E-01    4     1130
    239  0.26100000E+01  0.100000E-01    4     1134
    240  0.26200000E+01  0.100000E-01    5     1139
    241  0.26300000E+01  0.100000E-01   11     1150
    242  0.26400000E+01  0.100000E-01   10     1160
    243  0.26500000E+01  0.100000E-01    5     1165
    244  0.26600000E+01  0.100000E-01    4     1169
    245  0.26700000E+01  0.100000E-01    4     1173
    246  0.26800000E+01  0.100000E-01    4     1177
    247  0.26900000E+01  0.100000E-01    4     1181
    248  0.27000000E+01  0.100000E-01    4     1185
    249  0.27100000E+01  0.100000E-01    4     1189
    250  0.27200000E+01  0.100000E-01    4     1193
    251  0.27300000E+01  0.100000E-01    5     1198
    252  0.27400000E+01  0.100000E-01    5     1203
    253  0.27500000E+01  0.100000E-01    5     1208
    254  0.27600000E+01  0.100000E-01    7     1215
    255  0.27700000E+01  0.100000E-01    4     1219
    256  0.27800000E+01  0.100000E-01    4     1223
    257  0.27900000E+01  0.100000E-01    4     1227
    258  0.28000000E+01  0.100000E-01    5     1232
    259  0.28100000E+01  0.100000E-01    5     1237
    260  0.28200000E+01  0.100000E-01    7     1244
    261  0.28300000E+01  0.100000E-01    5     1249
    262  0.28400000E+01  0.100000E-01    5     1254
    263  0.28500000E+01  0.100000E-01    6     1260
    264  0.28600000E+01  0.100000E-01    4     1264
    265  0.28700000E+01  0.100000E-01    4     1268
    266  0.28800000E+01  0.100000E-01    4     1272
    267  0.28900000E+01  0.100000E-01    4     1276
    268  0.29000000E+01  0.100000E-01    4     1280
    269  0.29100000E+01  0.100000E-01    4     1284
    270  0.29200000E+01  0.100000E-01    5     1289
    271  0.29300000E+01  0.100000E-01    6     1295
    272  0.29400000E+01  0.100000E-01    5     1300
    273  0.29500000E+01  0.100000E-01    4     1304
    274  0.29600000E+01  0.100000E-01    4     1308
    275  0.29700000E+01  0.100000E-01    4     1312
    276  0.29800000E+01  0.100000E-01    4     1316
    277  0.29900000E+01  0.100000E-01    5     1321
    278  0.30000000E+01  0.100000E-01    5     1326
    279  0.30100000E+01  0.100000E-01    5     1331
    280  0.30200000E+01  0.100000E-01    5     1336
    281  0.30300000E+01  0.100000E-01    4     1340
    282  0.30400000E+01  0.100000E-01    5     1345
    283  0.30500000E+01  0.100000E-01    6     1351
    284  0.30600000E+01  0.100000E-01    4     1355
    285  0.30700000E+01  0.100000E-01    4     1359
    286  0.30800000E+01  0.100000E-01    5     1364
