 Welcome to HYDRUS                                                       
 
 Program HYDRUS2
 Date:  17. 3.    Time:  19:52:17
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = sec  , M = mmol 
 

 Max. number of iterations             10
 Absolute water content tolerance [-] 0.00100
 Absolute pressure head tolerance [L] 0.10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.078  0.430   0.360E-01   0.156E+01   0.289E-03  0.500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
  0.4266  -0.278E+01  0.4444E+00  0.1885E-02  0.1519E-03 -0.3818E+01    0.9903
  0.4254  -0.335E+01  0.5253E+00  0.2067E-02  0.1398E-03 -0.3854E+01    0.9871
  0.4240  -0.404E+01  0.6061E+00  0.2257E-02  0.1271E-03 -0.3896E+01    0.9829
  0.4220  -0.486E+01  0.6869E+00  0.2452E-02  0.1140E-03 -0.3943E+01    0.9773
  0.4195  -0.586E+01  0.7677E+00  0.2646E-02  0.1005E-03 -0.3998E+01    0.9701
  0.4162  -0.705E+01  0.8485E+00  0.2831E-02  0.8692E-04 -0.4061E+01    0.9608
  0.4120  -0.850E+01  0.9293E+00  0.2996E-02  0.7354E-04 -0.4133E+01    0.9488
  0.4067  -0.102E+02  0.1010E+01  0.3129E-02  0.6067E-04 -0.4217E+01    0.9337
  0.4000  -0.123E+02  0.1091E+01  0.3214E-02  0.4864E-04 -0.4313E+01    0.9148
  0.3919  -0.148E+02  0.1172E+01  0.3237E-02  0.3777E-04 -0.4423E+01    0.8916
  0.3821  -0.179E+02  0.1253E+01  0.3187E-02  0.2834E-04 -0.4548E+01    0.8639
  0.3706  -0.215E+02  0.1333E+01  0.3059E-02  0.2049E-04 -0.4688E+01    0.8314
  0.3576  -0.260E+02  0.1414E+01  0.2857E-02  0.1427E-04 -0.4846E+01    0.7943
  0.3431  -0.313E+02  0.1495E+01  0.2593E-02  0.9564E-05 -0.5019E+01    0.7532
  0.3276  -0.376E+02  0.1576E+01  0.2288E-02  0.6183E-05 -0.5209E+01    0.7090
  0.3112  -0.453E+02  0.1657E+01  0.1965E-02  0.3865E-05 -0.5413E+01    0.6625
  0.2945  -0.546E+02  0.1737E+01  0.1646E-02  0.2344E-05 -0.5630E+01    0.6151
  0.2779  -0.658E+02  0.1818E+01  0.1350E-02  0.1384E-05 -0.5859E+01    0.5678
  0.2616  -0.792E+02  0.1899E+01  0.1086E-02  0.7997E-06 -0.6097E+01    0.5215
  0.2459  -0.955E+02  0.1980E+01  0.8598E-03  0.4535E-06 -0.6343E+01    0.4771
  0.2311  -0.115E+03  0.2061E+01  0.6723E-03  0.2534E-06 -0.6596E+01    0.4349
  0.2172  -0.138E+03  0.2141E+01  0.5204E-03  0.1400E-06 -0.6854E+01    0.3954
  0.2043  -0.167E+03  0.2222E+01  0.3996E-03  0.7659E-07 -0.7116E+01    0.3587
  0.1924  -0.201E+03  0.2303E+01  0.3049E-03  0.4161E-07 -0.7381E+01    0.3249
  0.1815  -0.242E+03  0.2384E+01  0.2315E-03  0.2249E-07 -0.7648E+01    0.2940
  0.1715  -0.292E+03  0.2465E+01  0.1752E-03  0.1210E-07 -0.7917E+01    0.2657
  0.1625  -0.351E+03  0.2545E+01  0.1322E-03  0.6490E-08 -0.8188E+01    0.2399
  0.1542  -0.423E+03  0.2626E+01  0.9951E-04  0.3473E-08 -0.8459E+01    0.2165
  0.1468  -0.509E+03  0.2707E+01  0.7480E-04  0.1855E-08 -0.8732E+01    0.1954
  0.1400  -0.614E+03  0.2788E+01  0.5616E-04  0.9893E-09 -0.9005E+01    0.1762
  0.1339  -0.739E+03  0.2869E+01  0.4212E-04  0.5271E-09 -0.9278E+01    0.1589
  0.1284  -0.890E+03  0.2949E+01  0.3158E-04  0.2806E-09 -0.9552E+01    0.1432
  0.1234  -0.107E+04  0.3030E+01  0.2366E-04  0.1493E-09 -0.9826E+01    0.1291
  0.1190  -0.129E+04  0.3111E+01  0.1772E-04  0.7943E-10 -0.1010E+02    0.1164
  0.1149  -0.156E+04  0.3192E+01  0.1326E-04  0.4223E-10 -0.1037E+02    0.1049
  0.1113  -0.187E+04  0.3273E+01  0.9929E-05  0.2245E-10 -0.1065E+02    0.0945
  0.1080  -0.226E+04  0.3354E+01  0.7431E-05  0.1193E-10 -0.1092E+02    0.0852
  0.1050  -0.272E+04  0.3434E+01  0.5561E-05  0.6341E-11 -0.1120E+02    0.0768
  0.1023  -0.327E+04  0.3515E+01  0.4161E-05  0.3369E-11 -0.1147E+02    0.0692
  0.0999  -0.394E+04  0.3596E+01  0.3113E-05  0.1790E-11 -0.1175E+02    0.0623
  0.0978  -0.475E+04  0.3677E+01  0.2329E-05  0.9510E-12 -0.1202E+02    0.0562
  0.0958  -0.572E+04  0.3758E+01  0.1743E-05  0.5053E-12 -0.1230E+02    0.0506
  0.0941  -0.689E+04  0.3838E+01  0.1304E-05  0.2684E-12 -0.1257E+02    0.0456
  0.0925  -0.830E+04  0.3919E+01  0.9754E-06  0.1426E-12 -0.1285E+02    0.0411
  0.0910  -0.100E+05  0.4000E+01  0.7297E-06  0.7575E-13 -0.1312E+02    0.0370
end
